,2288.0,Milanesa
0,39.9,Chiquizuela
1,2288.0,Espinazo
2,499.99,Carnanza
3,205870.0,Falda
4,519.99,Carne
5,205870.0,Entrania
6,539.99,Bife
7,205870.0,Rost
8,539.99,Palomita
9,205870.0,Tortuguita
10,589.99,Paleta
11,205894.0,Milanesa
12,189.99,Milanesa
13,205955.0,Milanesa
14,104.99,Bife
15,205979.0,Colita
16,259.99,Cuadril
17,206020.0,Bife
18,279.99,Falda
19,206044.0,Azotillo
20,229.99,Salchichon
21,206051.0,Queso
22,459.99,Dulce
23,206105.0,Queso
24,389.99,Bola
25,206136.0,Osobuco
26,299.99,Falda
27,206143.0,Milanesa
28,339.99,Paleta
29,206181.0,Colita
30,339.99,Costilla
31,206198.0,Milanesa
32,369.99,Aguja
33,206235.0,Chorizo
34,399.99,Morcilla
35,206280.0,Salchichas
36,414.99,Pan
37,206297.0,Chorizo
38,399.99,Trapo
39,206303.0,Ketchup
40,399.99,Ketchup
41,206310.0,Queso
42,559.99,Salame
43,206334.0,Pan
44,419.99,Pan
45,206358.0,Vacio
46,559.99,Confites
47,206693.0,Caramelos
48,259.99,Confites
49,206907.0,Confites
50,289.99,Chicle
51,216616.0,Condimento
52,249.0,Dulce
53,221184.0,Bolsas
54,259.0,Aceto
55,221184.0,Mascara
56,439.0,Mascara
57,221184.0,Mascara
58,729.0,Huevo
59,230407.0,Mostaza
60,729.0,Mostaza
61,230407.0,Mostaza
62,68.9,Cerveza
63,231688.0,Salsa
64,69.9,Salsa
65,231688.0,Salsa
66,110.0,Cerveza
67,231688.0,Cerveza
68,859.0,Desodorante
69,274357.0,Desodorante
70,399.99,Cerveza
71,279680.0,Gel
72,204.99,Gel
73,279703.0,Crema
74,239.0,Tonico
75,279710.0,Desodorante
76,399.99,Gel
77,279734.0,Gel
78,375.0,Desmaquillador
79,280037.0,Desmaquillador
80,394.0,Crema
81,280037.0,Crema
82,519.0,Desodorante
83,280204.0,Crema
84,545.0,Crema
85,280204.0,Crema
86,369.0,Crema
87,280259.0,Crema
88,387.0,Crema
89,280259.0,Pate
90,449.0,Cerveza
91,286848.0,Cerveza
92,471.0,Desodorante
93,286848.0,Desodorante
94,323.0,Desodorante
95,288132.0,Desodorante
96,340.0,Cerveza
97,288132.0,Desodorante
98,375.9,Cerveza
99,288989.0,Cerveza
100,394.9,Desodorante
101,288989.0,Desodorante
102,227.9,Desodorante
103,289153.0,Desdorante
104,239.9,Desodorante
105,289153.0,Desodorante
106,465.9,Desodorante
107,289177.0,Desodorante
108,489.9,Espuma
109,289177.0,Desodorante
110,79.0,Antitranspirante
111,630344.0,Antitraspirante
112,165.0,Desodorante
113,630344.0,Antitranspirante
114,233.9,Desodorante
115,896887.0,Desodorante
116,245.9,Antitranspirante
117,896887.0,Desodorante
118,185.99,Desodorante
119,1034448.0,Desodorante
120,229.0,Desodorante
121,1307504.0,Desodorante
122,229.0,Desodorante
123,1307504.0,Chocolate
124,229.0,Manteca
125,1307504.0,Manteca
126,245.0,Repelente
127,1307504.0,Manteca
128,229.0,Jabon
129,1312409.0,Repelente
130,229.0,Repelente
131,1312409.0,Repelente
132,229.0,Desodorante
133,1312409.0,Sal
134,245.0,Fideos
135,1312409.0,Galletitas
136,385.99,Jabon
137,2077055.0,Flan
138,679.99,Insecticida
139,2079714.0,Caramelos
140,679.99,Shampoo
141,2079714.0,Chicles
142,37.9,Alfajor
143,2130828.0,Bombon
144,37.9,Esponja
145,2130828.0,Alcohol
146,39.8,Galletitas
147,2130835.0,Galletitas
148,399.0,Galletitas
149,2352312.0,Galletitas
150,115.0,Huevo
151,4016007.0,Alfajor
152,115.0,Alfajor
153,4016205.0,Alfajor
154,129.0,Alfajor
155,7933622.0,Desodorante
156,129.0,Gelatina
157,7935725.0,Pastilla
158,129.0,Caramelos
159,7935725.0,Caramelos
160,0.29,Fideos
161,19005102.0,Jugo
162,269.0,Alfajores
163,20336820.0,Alfajor
164,269.0,Alfajores
165,20336820.0,Turron
166,89.99,Whisky
167,23529953.0,Fideos
168,1.39,Desodorante
169,26031101.0,Caramelos
170,269.0,Caramelos
171,27189368.0,Alfajor
172,269.0,Licor
173,27189368.0,Alfajor
174,549.0,Licor
175,30108417.0,Crema
176,549.0,Sapolan
177,30108493.0,Flan
178,549.0,Alfajor
179,30114326.0,Galletita
180,105.0,Caramelos
181,40084107.0,Conejo
182,105.0,Alfajor
183,40084107.0,Galletitas
184,105.0,Galletitas
185,40084107.0,Chocolate
186,104.99,Chocolate
187,40084107.0,Licor
188,99.0,Tableta
189,40084107.0,Emulsion
190,103.99,Alfajor
191,40084107.0,Barra
192,116.0,Chocolate
193,40084107.0,Chocolate
194,112.0,Chicles
195,40084107.0,Chicles
196,109.0,Chicles
197,40084107.0,Chicles
198,112.0,Alfajor
199,40084107.0,Barra
200,112.0,Barra
201,40084107.0,Alfajores
202,116.0,Caramelos
203,40084107.0,Caramelos
204,118.75,Chocolate
205,40084107.0,Chocolate
206,118.75,Chocolate
207,40084107.0,Caramelos
208,105.0,Antitranspirante
209,40084107.0,Chicles
210,105.0,Caramelos
211,40084107.0,Yogur
212,105.0,Yogur
213,40084107.0,Jabon
214,183.9,Jabon
215,40122380.0,Jabon
216,183.9,Pastillas
217,40122380.0,Caramelos
218,177.0,Pastillas
219,40122526.0,Pastillas
220,177.0,Jabon
221,40122526.0,Jabon
222,64.0,Jabon
223,40786186.0,Chicles
224,64.0,Chocolate
225,40786186.0,Caramelos
226,96.72,Caramelos
227,40786186.0,Caramelos
228,102.9,Caramelos
229,40786186.0,Caramelos
230,97.0,Cera
231,40786186.0,Crema
232,99.0,Desodorante
233,40786186.0,Queso
234,102.9,Caramelos
235,40786186.0,Caramelos
236,168.0,Desodorante
237,40804927.0,Huevo
238,168.0,Alfajor
239,40804927.0,Bombon
240,168.0,Panuelos
241,40804934.0,Bocadito
242,168.0,Crema
243,40804934.0,Alfajor
244,168.0,Desodorante
245,40804996.0,Caramelos
246,168.0,Caramelos
247,40804996.0,Chocolate
248,199.0,Chocolate
249,41007723.0,Bocadito
250,189.0,Cubanito
251,41007723.0,Cubanito
252,125.0,Cubanito
253,41024355.0,Cubanito
254,125.0,Bocadito
255,41024355.0,Bocadito
256,125.0,Bocadito
257,41024355.0,Bombon
258,158.82,Bombon
259,42096276.0,Alfajor
260,204.65,Repelente
261,42096276.0,Turron
262,204.65,Chocolate
263,42096276.0,Chicles
264,166.0,Chocolate
265,42126560.0,Chicles
266,162.0,Caramelos
267,42126560.0,Chicle
268,161.0,Chicle
269,42126560.0,Chicles
270,161.4,Chicles
271,42126560.0,Chicles
272,174.4,Alfajor
273,42126560.0,Alfajor
274,185.8,Chocolate
275,42126560.0,Barra
276,169.5,Barra
277,42126560.0,Biscuits
278,166.3,Shampoo
279,42126560.0,Barra
280,182.6,Barra
281,42126560.0,Alfajor
282,167.9,Chococereal
283,42126560.0,Huevo
284,162.99,Chicle
285,42126560.0,Turron
286,167.85,Turron
287,42126560.0,Shampoo
288,188.25,Acondicionador
289,42126560.0,Shampoo
290,173.95,Gelatina
291,42126560.0,Gelatina
292,175.98,Desodorante
293,42126560.0,Conejo
294,181.0,Conejo
295,42126560.0,Conejo
296,174.0,Conejo
297,42126560.0,Desodorante
298,165.0,Desodorante
299,42126560.0,Desodorante
300,174.0,Desodorante
301,42126560.0,Desodorante
302,188.3,Desodorante
303,42126560.0,Desodorante
304,204.65,Antitraspirante
305,42126560.0,Desodorante
306,204.65,Desodorante
307,42126560.0,Desodorante
308,204.49,Desodorante
309,42126560.0,Chicles
310,163.0,Chicles
311,42126560.0,Chicles
312,163.0,Chicles
313,42126560.0,Chicles
314,163.0,Shampoo
315,42126560.0,Acondicionador
316,87.0,Shampoo
317,42149996.0,Acondicionador
318,100.0,Galletitas
319,42149996.0,Conejo
320,86.0,Barra
321,42149996.0,chocolate
322,87.0,Alfajor
323,42149996.0,Chicles
324,87.0,Chicles
325,42149996.0,Alfajor
326,99.95,Alfajor
327,42149996.0,Caramelos
328,96.72,Caramelos
329,42149996.0,Caramelos
330,87.5,Caramelos
331,42149996.0,Barra
332,100.0,Licor
333,42149996.0,Mix
334,99.0,Mix
335,42149996.0,Mix
336,87.5,Bombon
337,42149996.0,Alfajor
338,99.0,Alfajor
339,42149996.0,Chocolate
340,100.0,Chocolate
341,42149996.0,Barra
342,87.5,Barra
343,42149996.0,Caramelos
344,285.0,Conejo
345,42171850.0,Bombones
346,245.0,Pastillas
347,42171850.0,Caramelos
348,249.0,Caramelos
349,42171850.0,Medallon
350,249.0,Shampoo
351,42171850.0,Acondicionador
352,325.0,Chicles
353,42171850.0,Chicles
354,339.0,Desodorante
355,42171850.0,Desodorante
356,229.0,Desodorante
357,42172536.0,Chocolate
358,219.0,Chocolate
359,42172536.0,Chocolate
360,215.0,Desodorante
361,42172536.0,Chicles
362,219.0,Tableta
363,42172536.0,Barra
364,100.99,Tableta
365,42207573.0,Tableta
366,122.75,Barra
367,42207573.0,Chocolate
368,439.0,Chocolate
369,42211051.0,Bocadito
370,505.0,Chicles
371,42211051.0,Gelatina
372,499.0,Barra
373,42211051.0,Caramelos
374,449.0,Postre
375,42211051.0,Postre
376,449.0,Chocolate
377,42211051.0,Bon
378,445.0,Deosodorante
379,42211051.0,Crema
380,655.0,Huevo
381,42211051.0,Cera
382,579.0,Caramelos
383,42211051.0,Barra
384,609.0,Barra
385,42211051.0,Barra
386,163.0,Barra
387,42231301.0,Chocolate
388,161.0,Chocolate
389,42231301.0,Sal
390,172.79,Sal
391,42231301.0,Huevo
392,162.99,Mix
393,42231301.0,Alfajor
394,162.99,Bombon
395,42231301.0,Huevo
396,188.25,Repelente
397,42231301.0,Caramelos
398,173.95,Caramelos
399,42231301.0,Chocolatin
400,181.0,Chocolatin
401,42231301.0,Chocolate
402,174.0,Queso
403,42231301.0,Queso
404,166.0,Caramelo
405,42231301.0,Caramelos
406,174.0,Caramelo
407,42231301.0,Caramelos
408,188.3,Caramelo
409,42231301.0,Bombon
410,204.65,Pomada
411,42231301.0,Pomada
412,204.65,Pomada
413,42231301.0,Bombon
414,163.0,Chicles
415,42231301.0,Chicles
416,163.0,Alfajor
417,42231301.0,Alfajor
418,163.0,Sapito
419,42231301.0,Chocolate
420,262.0,Chocolate
421,42231486.0,Antitraspirante
422,234.0,Antitraspirante
423,42231486.0,Antitraspirante
424,244.0,Galletitas
425,42231486.0,Galletitas
426,241.0,Galletitas
427,42231486.0,Bombones
428,276.0,Turron
429,42231486.0,Bombones
430,265.0,Flan
431,42231486.0,Biscuits
432,219.0,Flan
433,42231486.0,Chicle
434,216.0,Caramelos
435,42231486.0,Semillas
436,249.0,Turron
437,42231486.0,Chocolate
438,244.0,Pastillas
439,42231486.0,Barra
440,241.0,Cereal
441,42231486.0,Barrita
442,276.0,Barra
443,42231486.0,Barra
444,234.0,Caramelo
445,42231486.0,Flan
446,240.7,Postre
447,42231486.0,Postre
448,236.0,Postre
449,42231486.0,Gelatina
450,226.6,Gelatina
451,42231486.0,Galletitas
452,231.3,Tableta
453,42231486.0,Tableta
454,257.3,Chocolate
455,42231486.0,Caramelos
456,233.7,Tableta
457,42231486.0,Chocolate
458,252.5,Tableta
459,42231486.0,Alfajor
460,269.1,Alfajor
461,42231486.0,Alfajor
462,245.5,Alfajor
463,42231486.0,Barra
464,240.7,Levadura
465,42231486.0,Licor
466,264.3,Cafe
467,42231486.0,Conitos
468,243.1,Vino
469,42231486.0,Chocolate
470,250.15,Pasta
471,42231486.0,Pinia
472,235.99,Tequila
473,42231486.0,Cafe
474,240.65,Cafe
475,42231486.0,Cafe
476,237.99,Licor
477,42231486.0,Caballa
478,243.05,Barra
479,42231486.0,Chocolate
480,267.95,Obleas
481,42231486.0,Turron
482,199.95,Desodorante
483,42231486.0,Desodorante
484,243.95,Pastillas
485,42231486.0,Pastillas
486,276.0,Huevo
487,42231486.0,Pastillas
488,268.0,Pastillas
489,42231486.0,Pastillas
490,262.0,Bombones
491,42231486.0,Chocolate
492,268.0,Chocolate
493,42231486.0,Desodorante
494,178.38,Caramelos
495,42231486.0,Caramelos
496,285.0,Desodorante
497,42231486.0,Deo
498,245.0,Desodorante
499,42231486.0,Desodorante
500,249.0,Desodorante
501,42231486.0,Desodorante
502,249.0,Desodorante
503,42231486.0,Desodorante
504,325.0,Roll
505,42231486.0,Desodorante
506,339.0,Caramelos
507,42231486.0,Desodorante
508,229.9,Desodorante
509,42231509.0,Desodorante
510,229.0,Desodorante
511,42231509.0,Desodorante
512,219.0,Caramelos
513,42231509.0,Huevo
514,215.0,Desodorante
515,42231509.0,Desodorante
516,219.0,Desodorante
517,42231509.0,Desodorante
518,179.0,Pastillas
519,42269847.0,Antitranspirante
520,439.0,Papel
521,42277132.0,Pan
522,472.0,Extracto
523,42277132.0,Tomate
524,483.0,Salsa
525,42277132.0,Tableta
526,422.0,Tableta
527,42277132.0,Bombones
528,305.0,Tableta
529,42277132.0,Aceite
530,499.0,Aceto
531,42277132.0,Aceto
532,478.0,Chocolate
533,42277132.0,Tableta
534,249.0,Licor
535,42277132.0,Peperoncino
536,426.0,Pimienta
537,42277132.0,Pimienta
538,249.0,Pimienta
539,42277132.0,Pimienta
540,499.0,Sal
541,42277132.0,Aji
542,349.3,Pesto
543,42277132.0,Aceto
544,483.0,Alcaparras
545,42277132.0,Pesto
546,426.0,Aceite
547,42277132.0,Corazon
548,439.0,Berenjenas
549,42277132.0,Chocolate
550,422.0,Cerveza
551,42277132.0,Cerveza
552,426.0,Bolsa
553,42277132.0,Energizante
554,421.8,Cerveza
555,42277132.0,Cerveza
556,485.7,Dulce
557,42277132.0,Chicle
558,443.1,Papel
559,42277132.0,Bolsas
560,434.5,Huevos
561,42277132.0,Cerveza
562,477.1,Cerveza
563,42277132.0,Cerveza
564,451.55,Cerveza
565,42277132.0,Cerveza
566,425.99,Cerveza
567,42277132.0,Cerveza
568,427.99,Cerveza
569,42277132.0,Antitranspirante
570,438.75,Desodorante
571,42277132.0,Desodorante
572,482.95,Espuma
573,42277132.0,Cerveza
574,373.95,Manteca
575,42277132.0,Manteca
576,384.97,Repelente
577,42277132.0,Repelente
578,499.0,Oblea
579,42277132.0,Postre
580,483.0,Chicles
581,42277132.0,Caramelos
582,439.0,Galletitas
583,42277132.0,Galletitas
584,505.0,Alfajor
585,42277132.0,Alfajor
586,499.0,Alfajor
587,42277132.0,Alfajor
588,449.0,Desodorante
589,42277132.0,Caramelos
590,449.0,Caramelos
591,42277132.0,Tallarines
592,445.0,Whisky
593,42277132.0,Masticable
594,655.0,Tallarines
595,42277132.0,Tallarines
596,579.0,Anticeptico
597,42277132.0,Barra
598,609.0,Barra
599,42277132.0,Barra
600,181.0,Barra
601,42277705.0,Fideos
602,188.0,Alfajor
603,42277705.0,Alfajor
604,194.0,Chocolate
605,42277705.0,Alfarroz
606,124.0,Alfarroz
607,42277705.0,Alfajor
608,170.0,Alfajor
609,42277705.0,Chocolate
610,102.99,Barra
611,42277705.0,Alfajor
612,183.0,Barra
613,42277705.0,Chicle
614,152.8,Chicle
615,42277705.0,Chicle
616,191.0,Chicle
617,42277705.0,Chicle
618,170.0,Alfajor
619,42277705.0,Barra
620,180.19,Barra
621,42277705.0,Caramelos
622,169.99,Caramelos
623,42277705.0,Barra
624,168.99,Caramelos
625,42277705.0,Barra
626,187.95,Caramelos
627,42277705.0,Chocolate
628,182.95,Caramelos
629,42277705.0,Caramelos
630,194.0,Caramelos
631,42277705.0,Caramelos
632,188.0,Caramelos
633,42277705.0,Caramelos
634,188.0,Caramelos
635,42277705.0,Caramelos
636,275.0,Caramelos
637,42277712.0,Caramelos
638,286.0,Caramelos
639,42277712.0,Caramelos
640,189.0,Desodorante
641,42277712.0,Tableta
642,188.0,Caramelos
643,42277712.0,Desodorante
644,259.0,Chicle
645,42277712.0,Chicle
646,157.0,Chicle
647,42277712.0,Chicle
648,279.0,Chocolate
649,42277712.0,Chocolate
650,295.0,Chicle
651,42277712.0,Chicle
652,257.0,Chicle
653,42277712.0,Chicle
654,259.0,Barra
655,42277712.0,Barra
656,273.49,Chocolate
657,42277712.0,Chocolate
658,257.99,Chocolate
659,42277712.0,Chicle
660,200.0,Caramelos
661,42277712.0,Chocolate
662,295.0,Chocolate
663,42277712.0,Barra
664,285.0,Barra
665,42277712.0,Chicle
666,279.0,Chicle
667,42277712.0,Caramelos
668,285.0,Caramelos
669,42277712.0,Caramelos
670,159.8,Barra
671,42277842.0,Chocolate
672,177.7,Alfajor
673,42277842.0,Caramelos
674,182.69,Caramelos
675,42277842.0,Caramelos
676,174.0,Desodorante
677,42277842.0,Desodorante
678,174.0,Desodorante
679,42277842.0,Desodorante
680,158.82,Chicle
681,42277842.0,Chicle
682,188.3,Desodorante
683,42277842.0,Conejito
684,204.65,Conejito
685,42277842.0,Conejito
686,204.65,Conejito
687,42277842.0,Antitranspirante
688,163.0,Antitranspirante
689,42277842.0,Antitranspirante
690,219.0,Desodorante
691,42277842.0,Desodorante
692,163.0,Desodorante
693,42277842.0,Antitranspirante
694,205.0,Antitranspirante
695,42277842.0,Chicle
696,137.0,Chicle
697,42300076.0,Chicle
698,151.0,Chicle
699,42300076.0,Chicle
700,133.0,Conejito
701,42300076.0,Barra
702,143.0,Chicle
703,42300076.0,Barra
704,132.0,Alfajor
705,42300076.0,Chocolate
706,131.0,Chocolate
707,42300076.0,Conejito
708,135.0,Caramelos
709,42300076.0,Caramelos
710,148.0,Caramelos
711,42300076.0,Caramelos
712,149.0,Antitraspirante
713,42300076.0,Antitranspirante
714,139.0,Antitranspirante
715,42300076.0,Antitranspirante
716,137.0,Antitranspirante
717,42300076.0,Chocolate
718,151.0,Chocolate
719,42300076.0,Chocolate
720,148.0,Desodorante
721,42300076.0,Cubanito
722,149.0,Cubanito
723,42300076.0,Chicle
724,133.0,Chocolate
725,42300076.0,Chocolate
726,140.0,Crema
727,42300076.0,Crema
728,131.0,Chocolate
729,42300076.0,Chicle
730,135.0,Sal
731,42300076.0,Huevo
732,140.0,Bocadito
733,42300076.0,Alfajor
734,132.1,Cubanitos
735,42300076.0,Chocolatin
736,134.7,Chocolatin
737,42300076.0,Conejito
738,147.9,Tortuguita
739,42300076.0,Desodorante
740,143.9,Desodorante
741,42300076.0,Tortuguita
742,126.8,Cubanitos
743,42300076.0,Flan
744,132.1,Flan
745,42300076.0,Caramelos
746,130.7,Postre
747,42300076.0,Postre
748,137.3,Gelatina
749,42300076.0,Gelatina
750,150.5,Galletitas
751,42300076.0,Cubanitos
752,134.7,Caramelos
753,42300076.0,Caramelos
754,147.9,Caramelos
755,42300076.0,Caramelos
756,136.0,Chocolate
757,42300076.0,Chocolate
758,140.99,Tableta
759,42300076.0,Alfajor
760,132.99,Alfajor
761,42300076.0,Barra
762,137.0,Chocolate
763,42300076.0,Cafe
764,119.9,Tallarines
765,42300076.0,Repelente
766,131.99,Chocolate
767,42300076.0,Barra
768,134.65,Huevitos
769,42300076.0,Chocolate
770,131.99,Oblea
771,42300076.0,Pastillas
772,148.95,Desodorante
773,42300076.0,Desodorante
774,134.95,Desodorante
775,42300076.0,Desodorante
776,151.0,Desodorante
777,42300076.0,Desodorante
778,147.0,Antitranspirante
779,42300076.0,Antitranspirante
780,143.0,Desodorante
781,42300076.0,Antitranspirante
782,147.0,Desodorante
783,42300076.0,Antitranspirante
784,147.0,Antitranspirante
785,42300076.0,Antitranspirante
786,147.0,Antitranspirante
787,42300076.0,Antitranspirante
788,168.59,Antitranspirante
789,42300076.0,Desodorante
790,147.0,Desodorante
791,42300076.0,Antitranspirante
792,149.85,Cerveza
793,42300076.0,Energizante
794,149.0,Chicle
795,42300076.0,Arroz
796,137.0,Gin
797,42300076.0,Toallitas
798,139.0,Caramelos
799,42300076.0,Caramelos
800,138.0,Ron
801,42300076.0,Galletas
802,186.0,Salsa
803,42300076.0,Salsa
804,167.0,Salsa
805,42300076.0,Salsa
806,174.0,Salsa
807,42300076.0,Salsa
808,139.0,Salsa
809,42300076.0,Salsa
810,222.0,Salsa
811,42300083.0,Ketchup
812,209.0,Ketchup
813,42300083.0,Ketchup
814,225.0,Mostaza
815,42300083.0,Ketchup
816,226.0,Ketchup
817,42300083.0,Ketchup
818,213.0,Ketchup
819,42300083.0,Chocolate
820,203.0,Chocolate
821,42300083.0,Barra
822,205.0,Barra
823,42300083.0,Barra
824,214.0,Barra
825,42300083.0,Barra
826,211.0,Barra
827,42300083.0,Barra
828,231.0,Barra
829,42300083.0,Cerveza
830,239.0,Cerveza
831,42300083.0,Salsa
832,184.0,Salsa
833,42300083.0,Desodorante
834,216.0,Desodorante
835,42300083.0,Mayonesa
836,207.0,Salsa
837,42300083.0,Salsa
838,213.0,Barbacoa
839,42300083.0,Bocado
840,209.0,Pata
841,42300083.0,Panceta
842,160.0,Hamburguesas
843,42300083.0,Nuggets
844,231.0,Rodillo
845,42300083.0,Rodillo
846,234.0,Guantes
847,42300083.0,Guantes
848,239.0,Guantes
849,42300083.0,Guante
850,225.0,Guantes
851,42300083.0,Guantes
852,222.0,Bolsa
853,42300083.0,Bolsa
854,205.0,Bolsa
855,42300083.0,Chicles
856,214.0,Chicles
857,42300083.0,Caramelos
858,206.2,Caramelos
859,42300083.0,Chicles
860,202.1,Chicles
861,42300083.0,Vigilante
862,210.3,Medialuna
863,42300083.0,Shampoo
864,230.9,Shampoo
865,42300083.0,Shampoo
866,224.7,Shampoo
867,42300083.0,Shampoo
868,197.9,Acondicionador
869,42300083.0,Acondicionador
870,197.9,Acondicionador
871,42300083.0,Acondicionador
872,210.3,Acondicionador
873,42300083.0,Mousse
874,206.2,Fijador
875,42300083.0,Shampoo
876,204.1,Acondicionador
877,42300083.0,Spray
878,214.4,Mousse
879,42300083.0,Shampoo
880,210.3,Jamon
881,42300083.0,Panceta
882,230.9,Queso
883,42300083.0,Queso
884,212.4,Queso
885,42300083.0,Salame
886,216.0,Aceitunas
887,42300083.0,Jamon
888,139.9,Calabaza
889,42300083.0,Zanahoria
890,208.59,Papa
891,42300083.0,Perejil
892,212.35,Pimiento
893,42300083.0,Ron
894,209.99,Ron
895,42300083.0,Bolsa
896,238.95,Ron
897,42300083.0,Ron
898,248.59,Ron
899,42300083.0,Ron
900,233.99,Ketchup
901,42300083.0,Ketchup
902,233.99,Salsa
903,42300083.0,Salsa
904,181.0,Salsa
905,42333401.0,Salsa
906,188.0,Salsa
907,42333401.0,Salsa
908,194.0,Salsa
909,42333401.0,Salsa
910,124.0,Salsa
911,42333401.0,Salsa
912,170.0,Peanuts
913,42333401.0,Mantequilla
914,102.99,Toallitas
915,42333401.0,Pastillas
916,183.0,Pastillas
917,42333401.0,Cepillo
918,191.0,Toallitas
919,42333401.0,Panal
920,170.0,Trajes
921,42333401.0,Trajes
922,168.99,Trajes
923,42333401.0,Panal
924,275.0,Panal
925,42333418.0,Esponja
926,286.0,Quitamanchas
927,42333418.0,Antitraspirante
928,189.0,Desodorante
929,42333418.0,Detergente
930,188.0,Papas
931,42333418.0,Papas
932,259.0,Detergente
933,42333418.0,Suavizante
934,157.0,Lavavajilla
935,42333418.0,Suavizante
936,279.0,Panial
937,42333418.0,Desodorante
938,295.0,Desodorante
939,42333418.0,Desodorante
940,257.0,Aromatizante
941,42333418.0,Suavizante
942,259.0,Jabon
943,42333418.0,Jabon
944,295.0,Jabon
945,42333418.0,Tabletas
946,285.0,Papas
947,42333418.0,Papas
948,279.0,Papas
949,42333418.0,Papas
950,285.0,Papas
951,42333418.0,Papas
952,153.0,Papas
953,42345466.0,Papas
954,131.0,Papas
955,42345466.0,Papas
956,129.0,Papas
957,42345466.0,Papas
958,135.0,Papas
959,42345466.0,Papas
960,134.0,Papas
961,42345466.0,Galletitas
962,162.0,Colavita
963,42345466.0,Balsamico
964,147.0,Caramelos
965,42345466.0,Caramelos
966,132.0,Caramelos
967,42345466.0,Caramelos
968,129.0,Confites
969,42345466.0,Mani
970,138.85,Agua
971,42345466.0,Agua
972,130.99,Agua
973,42345466.0,Agua
974,131.99,Jugo
975,42345466.0,Mermelada
976,156.95,Salsa
977,42345466.0,Mostaza
978,133.95,Salsa
979,42345466.0,Salsa
980,162.0,Lapiz
981,42345466.0,Delineador
982,157.0,Base
983,42345466.0,Corrector
984,153.0,Corrector
985,42345466.0,Corrector
986,157.0,Sombra
987,42345466.0,Lapiz
988,112.55,Lapiz
989,42345466.0,Lapiz
990,353.0,Lapiz
991,42389422.0,Lapiz
992,50.99,Mascara
993,57892054.0,Almendras
994,82.7,Almendras
995,75001629.0,Almendras
